Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	Text attribute – strikethrough on	Rel-5	2.9			C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute– foreground and background colours	Rel-5	2.10			C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Frames	Rel-6	TBD													E.1/89 AND E.1/91 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
	Already opened channel – E-UTRAN, APN different from default	Rel-8	1.2						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/91 AND E.1/92	E-USS or NB-SS (See NOTE)		
34	SEND DATA 27.22.4.30																		
	immediate mode	R99	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/92	UMTS System Simulator or System Simulator only		
	Store mode	R99	1.2	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/92	UMTS System Simulator or System Simulator only		
	Store mode, Tx buffer fully used	R99	1.3	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/92	UMTS System Simulator or System Simulator only		
	2 consecutive SEND DATA Store mode	R99	1.4	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/92	UMTS System Simulator or System Simulator only		
	immediate mode with a bad channel identifier	R99	1.5	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/92	UMTS System Simulator or System Simulator only		
	void																		
	Text attribute– left alignment	Rel-5	2.1			C121 AND C153	C121 AND C153	C121 AND C153	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	2.2			C121 AND C154	C121 AND C154	C121 AND C154	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	2.3			C121 AND C155	C121 AND C155	C121 AND C155	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	2.4			C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	2.5			C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	2.6			C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	2.7			C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	2.8			C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – strikethrough on	Rel-5	2.9			C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute– foreground and background colours	Rel-5	2.10			C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	E.1/89 AND E.1/92 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Frames	Rel-6	TBD													E.1/89 AND E.1/92 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
	Immediate mode – E-UTRAN, Default EPS bearer	Rel-8	3.1						C182	C182	C182	C182	C182	C223	C223	E.1/89 AND E.1/92	E-USS or NB-SS (See NOTE)		
	Store mode – E-UTRAN, APN different from default APN	Rel-8	3.2						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/92	E-USS or NB-SS (See NOTE)		
35	GET CHANNEL STATUS 27.22.4.31																		
	without any BIP channel opened	R99	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/93	UMTS System Simulator or System Simulator only		
	with a BIP channel currently opened	R99	1.2	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/93	UMTS System Simulator or System Simulator only		
	after a link dropped	R99	1.3	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/93	UMTS System Simulator or System Simulator only		
	EPS bearer with APN different from default APN	Rel-8	1.4						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/93	E-USS or NB-SS (See NOTE)		
	EPS bearer with APN different from default APN, after a link dropped	Rel-8	1.5						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/93	E-USS or NB-SS (See NOTE)		
36	DATA DOWNLOAD TO UICC 27.22.5																		
37	SMS-PP DATA DOWNLOAD 27.22.5.1																		
	void		1.1 - 1.8																
	SMS-PP Data Download over CS, UTRAN/GERAN	R99	1.9	C211	C211	C211	C211	C211	C212	C212	C212	C212	C212	C212	C212	E.1/2	UMTS System Simulator or System Simulator		TCEP001
38	CELL BROADCAST DATA DOWNLOAD 27.22.5.2																		
	Cell Broadcast(GSM) - ME does not display message	R99	1.1	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	E.1/3	System Simulator only		
	void		1.2																
	Cell Broadcast(GSM) - ME displays message	R99	1.3	C201 AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	C201AND C177	E.1/3 AND E.1/110	System Simulator only		
	Cell Broadcast (UTRAN) - ME does not display message	Rel-5	1.4													E.1/3	UMTS System Simulator only		
	Cell Broadcast (UTRAN) -More time	Rel-5	1.5													E.1/3 AND E.1/20	UMTS System Simulator only		
	Cell Broadcast(UTRAN) - ME displays message	Rel-5	1.6													E.1/3	UMTS System Simulator only		
	Cell Broadcast(GSM) - More time (UDH)	R99	1.7	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	C201	E.1/3 AND E.1/20	System Simulator only		
38A	SMS-PP DATA DOWNLOAD 27.22.5.3																		
	SMS-PP Data Download over IMS, E-UTRAN	Rel-8	3.1						C198	C198	C198	C198	C198	C198	C198	E.1/2	E-USS only		TCEP001
	SMS-PP Data Download over IMS, UTRAN	Rel-7	3.2					C199	C199	C199	C199	C199	C199	C199	C199	E.1/2	UMTS System Simulator only		TCEP001
38B	SMS-PP DATA DOWNLOAD over SGs in E-UTRAN   27.22.5.4																		
	SMS-PP Data Download over SGs, E-UTRAN	Rel-8	4.1						C205	C205	C205	C205	C205	C221	C221	E.1/2	E-USS or NB-SS (See NOTE)		TCEP001
39	CALL CONTROL BY USIM 27.22.6																		
	Procedure for MO calls (Cell identity in envelope call control)	R99	1.1, 1.2, 1.4, 1.6, 1.8 to 1.14	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/29 AND E.1/64	UMTS System Simulator or System Simulator only		
	Procedure for MO calls (Cell identity in envelope call control)	R99	1.3 A,  1.5 A,  1.7 A	C140 AND C177 AND C178 AND C180	C140 AND C177 AND C178 AND C180	C140 AND C177 AND C178 AND C180	C140 AND C177 AND C178 AND C180	C140 AND C177 AND C178 AND C180	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	C140 AND C177 AND C178 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/29 AND E.1/64 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Procedure for MO calls (Cell identity in envelope call control)	R99	1.3 B,  1.7 B	C141 AND C177 AND C178 AND C180	C141 AND C177 AND C178 AND C180	C141 AND C177 AND C178 AND C180	C141 AND C177 AND C178 AND C180	C141 AND C177 AND C178 AND C180	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	C141 AND C177 AND C178 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/29 AND E.1/64 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Procedure for MO calls (Cell identity in envelope call control)	R99	1.5 B	C141 AND C180	C141 AND C180	C141 AND C180	C141 AND C180	C141 AND C180	C141 AND C180 AND C183	C141 AND C180 AND C183	C141 AND C180 AND C183	C141 AND C180 AND C183	C141 AND C180 AND C183	C141 AND C180 AND C183	C141 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/29 AND E.1/64	UMTS System Simulator or System Simulator only		
	Procedure for SS (Cell identity in envelope call control)	R99	2.1, 2.2, 2.3, 2.4	C174	C174	C174	C174	C174	C174 AND C183	C174 AND C183	C174 AND C183	C174 AND C183	C174 AND C183	C174 AND C183	C174 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	UMTS System Simulator or System Simulator only		
	Interaction with FDN (Cell identity in envelope call control)	R99	3.1, 3.2, 3.3, 3.4, 3.5	C146 AND C180	C146 AND C180	C146 AND C180	C146 AND C180	C146 AND C180	C146 AND C180 AND C183	C146 AND C180 AND C183	C146 AND C180 AND C183	C146 AND C180 AND C183	C146 AND C180 AND C183	C146 AND C180 AND C183	C146 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	UMTS System Simulator or System Simulator only		
	BDN service enabled 	R99	4.1	C147 AND C177 AND C178 AND C180	C147 AND C177 AND C178 AND C180	C147 AND C177 AND C178 AND C180	C147 AND C177 AND C178 AND C180	C147 AND C177 AND C178 AND C180	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	C147 AND C177 AND C178 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	BDN service enabled, interaction with emergency call codes, R99 only	R99	4.2A	C147 AND C180												E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	UMTS System Simulator or System Simulator only		
	BDN service enabled, interaction with emergency call codes, Rel-4+	Rel-4	4.2B		C147 AND C180	C147 AND C180	C147 AND C180	C147 AND C180	C147 AND C180 AND C183	C147 AND C180 AND C183	C147 AND C180 AND C183	C147 AND C180 AND C183	C147 AND C180 AND C183	C147 AND C180 AND C183	C147 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 ND E.1/64	UMTS System Simulator or System Simulator only		
	FDN and BDN enabled, set up a call in EFFDN, Allowed with modifications	R99	4.3	C146 AND C147 AND C177 AND C180	C146 AND C147 AND C177 AND C180	C146 AND C147 AND C177 AND C180	 C146 AND C147 AND C177 AND C180	C146 AND C147 AND C177 AND C180	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	 C146 AND C147 AND C177 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/110	UMTS System Simulator or System Simulator only		
	Call control on GPRS	Rel-5	TBD													E.1/98 AND E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13	TBD		
	BDN service enabled, ME not supporting BDN	R99	5.1			C176 AND C180	C176 AND C180	C176 AND C180	C176 AND C180 AND C183	C176 AND C180 AND C183	C176 AND C180 AND C183	C176 AND C180 AND C183	C176 AND C180 AND C183	C176 AND C180 AND C183	C176 AND C180 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	UMTS System Simulator or System Simulator only		
40	EVENT DOWNLOAD 27.22.7																		
	27.22.7.1: MT call event	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/34 AND E.1/33	UMTS System Simulator or System Simulator only		
	27.22.7.2.1: call connected event	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/35 AND E.1/33	UMTS System Simulator or System Simulator only		
	27.22.7.2.1: call connected event (simultaneous call MT-MO)	R12	1.2										C180 AND C183	C180 AND C183	C180 AND C183		UMTS System Simulator or System Simulator only		
	27.22.7.2.1: call connected event (simultaneous call MO-MO)	R12	1.3										C180 AND C183	C180 AND C183	C180 AND C183		UMTS System Simulator or System Simulator only		
	27.22.7.2.1: call connected event (simultaneous call MO-MT)	R12	1.4										C180 AND C183	C180 AND C183	C180 AND C183		UMTS System Simulator or System Simulator only		
	27.22.7.2.2: ME supporting SET UP CALL	R99	2.1	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E.1/35 AND E.1/29 AND E.1/33 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	27.22.7.3: call disconnected event	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/36 AND E.1/33	UMTS System Simulator or System Simulator only		
	27.22.7.4: location status event	R99	1.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/37 AND E.1/33	UMTS System Simulator or System Simulator only		AER002
	27.22.7.4: location status event, E-UTRAN	Rel-8	1.2						C190	C190	C190	C190	C190	C222	C222	E.1/37 AND E.1/33 AND E.1/135	E-USS or NB-SS (See NOTE)		
	27.22.7.5: user activity event	R99	1.1	C178	C178	C178	C178	C178	C178	C178	C178	C178	C178	C178	C178	E.1/38 AND E.1/33 AND E.1/111	No		
	27.22.7.6: idle screen available event	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/39 AND E.1/33 AND E.1/110 AND E.1/111	Yes		
	27.22.7.7.1: Card reader status normal	R99	1.1	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/40 AND E.1/33	No		
	27.22.7.7.2: Detachable card reader	R99	2.1	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	E.1/40 AND E.1/33	No		
	27.22.7.8: language selection event	R99	1.1	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	C177 AND C178 AND C181 AND C216	E.1/41 AND E.1/33 AND E.1/110 AND E.1/111	No		
	27.22.7.9: Browser termination event	R99 	1.1	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	C193 AND C177 AND C178	E.1/42 AND E.1/33 AND E.1/110 AND E.1/111	Yes		
	27.22.7.10: Data available event	R99 	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/43 AND E.1/89 AND E.1/92 AND E.1/33	UMTS System Simulator or System Simulator only		
	27.22.7.10: Data available event	Rel-8 	1.2											C223	C223	E.1/43 AND E.1/89 AND E.1/92 AND E.1/33	E-USS or NB-SS (See NOTE)		
	27.22.7.11: Channel status event	R99 	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/44 AND E.1/89 AND E.1/33	UMTS System Simulator or System Simulator only		
	27.22.7.11: Channel status event	Rel-8 	1.2											C223	C223	E.1/44 AND E.1/89 AND E.1/33	E-USS or NB-SS (See NOTE)		
	27.22.7.12: Access Technology change event																		
	Single access technology	Rel-8	1.1						C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	E.1/45 AND E.1/33 	UMTS System Simulator and E-USS		
	Multiple access technologies	Rel-8	TBD						C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	C184 AND C190	E.1/45 AND E.1/33 AND E.1/200	TBD		
	27.22.7.13: Display parameter changed event	Rel-4	TBD													E.1/46 AND E.1/33	TBD		
	27.22.7.14: Local connection event	Rel-4	TBD													E.1/47 AND E.1/33	TBD		
	27.22.7.15: Network search mode change event	Rel-6	1.1							M	M	M	M	M	M	E.1/48 AND E.1/33	No		
	27.22.7.16: Browsing status event	Rel-6	TBD													E.1/193 AND E.1/33	TBD		
	27.22.7.17: Network Rejection Event, ATTACH REJECT	Rel-8	1.1						C190	C190	C190	C190	C190	C222	C222	E.1/33 AND E.197 	E-USS only or NB-SS (See NOTE)		
	27.22.7.17: Network Rejection Event, TRACKING AREA UPDATE REJECT	Rel-8	1.2						C190	C190	C190	C190	C190	C222	C222	E.1/33 AND E.197 	E-USS or NB-SS (See NOTE)		
	Frame information changed event	Rel-6	TBD													E.1/195 AND E.1/177 AND E.1/178 	TBD		
	27.22.7.18: CSG cell Selection	Rel-9	1.1							C200	C200	C200	C200	C200	C200	E.1/201	E-USS only		
	27.22.7.19 : IMS registration event (Refer to 27.22.4.27.7 and 27.22.7.20)	Rel-10	-													-	-		
	27.22.7.20 : Incoming IMS data, IMS Registration and Data available event, IARI list stored on the ISIM	Rel-10	1.1								C208	C208	C208	C208	C208	E.1/33 AND E.1/43 AND E.1/89 AND E.1/91 AND E.1/246 AND  E.1.247 AND E.1/249  	UMTS System Simulator OR E-USS		
41	MO SMS Control by USIM 27.22.8																		
	With proactive command, Allowed , no modification	R99	1.1	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12 AND E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	With user SMS, Allowed , no modification	R99	1.2	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12	UMTS System Simulator or System Simulator only		
	With proactive command, Not allowed	R99	1.3	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12 AND E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	With user SMS, Not allowed	R99	1.4	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12	UMTS System Simulator or System Simulator only		
	With proactive command, Allowed, with modifications	R99	1.5	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12 AND E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	With user SMS, Allowed, with modifications	R99	1.6	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12	UMTS System Simulator or System Simulator only		
	With Proactive command, the USIM responds with '90 00', Allowed, no modification	R99	1.7	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12 AND E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Send Short Message attempt by user, the USIM responds with '90 00', Allowed, no modification	R99	1.8	M	M	M	M	M	C183	C183	C183	C183	C183	C183	C183	E1/12	UMTS System Simulator or System Simulator only		
	Void		1.9																
	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Allowed, no modification	Rel-8	1.10											C221	C221	E1/12 AND E.1/26 AND E.1/110	E-USS or NB-SS (See NOTE)		TCEP001
	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Allowed, no modification	Rel-8	1.11											C221	C221	E1/12	E-USS or NB-SS (See NOTE)		
	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Not allowed	Rel-8	1.12											C221	C221	E1/12 AND E.1/26 AND E.1/110	E-USS or NB-SS (See NOTE)		TCEP001
	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Not allowed	Rel-8	1.13											C221	C221	E1/12	E-USS or NB-SS (See NOTE)		
	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, Allowed with modifications'	Rel-8	1.14											C221	C221	E1/12 AND E.1/26 AND E.1/110	E-USS or NB-SS (See NOTE)		TCEP001
	MO SM CONTROL BY USIM over SG in E-UTRAN, with user SMS, Allowed with modifications	Rel-8	1.15											C221	C221	E1/12	E-USS or NB-SS (See NOTE)		
	MO SM CONTROL BY USIM over SG in E-UTRAN, with Proactive command, the USIM responds with '90 00', Allowed, no modification	Rel-8	1.16											C221	C221	E1/12 AND E.1/26 AND E.1/110	E-USS or NB-SS (See NOTE)		TCEP001
	MO SM CONTROL BY USIM over SG in E-UTRAN, Send Short Message attempt by user, the USIM responds with '90 00', Allowed, no modification	Rel-8	1.17											C221	C221	E1/12	E-USS or NB-SS (See NOTE)		
																			
42	SERVICE SEARCH	Rel-4	TBD													E.1/94	TBD		
43	GET SERVICE INFORMATION	Rel-4	TBD													E.1/95	TBD		
44	DECLARE SERVICE	Rel-4	TBD													E.1/96	TBD		
45	RETRIEVE MULTIMEDIA MESSAGE	Rel-6	TBD													E.1/173	TBD		
46	SUBMIT MULTIMEDIA MESSAGE	Rel-6	TBD													E.1/173	TBD		
47	DISPLAY MULTIMEDIA MESSAGE	Rel-6	TBD													E.1/173	TBD		
48	SET FRAMES	Rel-6	TBD													E.1/177 AND E.1/178	TBD		
49	GET FRAME STATUS	Rel-6	TBD													E.1/178 AND E.1/177	TBD		
50	Handling of command number 27.22.9																		
	DISPLAY TEXT normal priority	R99	1.1	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
																			
51	Call Control on EPS PDN connection 27.22.10																		
	CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, allowed without modification	Rel-8	1.1												C222	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	E-USS or NB-SS (See NOTE)		
