Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
11.1.3.2	Abnormal Cases / Collision of UE initiated and network requested PDP context activation	R99	C17	UE supporting PS domain services configured in such a way that one or more PDP contexts can be active simultaneously.		
11.1.3.3	Abnormal Cases / Network initiated PDP context activation request for an already activated PDP context (on the UE side)	R99	C12	UE supporting PS domain services.		
11.1.3.4	Network reject with Extended Wait Timer	Rel-10	C868 OR C868	UEs supporting PS domain services and LAP|UEs supporting PS domain services and LAP		Rel-8 UTRA FDD
11.1.4.1.1	Successful secondary PDP context activation procedure initiated by the UE/QoS Offered by Network is the QoS Requested	R99	C62	UE supporting PS domain services. PDP context activation and secondary PDP context activation by the UE.		
11.1.4.1.2.1	Void					
11.1.4.1.2.2	Void					
11.1.4.1.2.3	Successful secondary PDP context activation procedure Initiated by the UE/LLC SAPI rejected by UE	R99	C89	UEs supporting FDD and GSM, PS bearer service and secondary PDP context activation by the UE.		
11.1.4.2	Unsuccessful Secondary PDP Context Activation Procedure Initiated by the UE	R99	C62	UE supporting PS domain services. PDP context activation and secondary PDP context activation by the UE.		
11.1.4.3.1	Abnormal cases/T3380 Expiry	R99	C62	UE supporting PS domain services. PDP context activation and secondary PDP context activation by the UE.		
11.1.5.1	Successful Secondary PDP Context Activation Procedure Initiated by the Network	Rel-7	C62a	UE supporting PS domain services.  PDP context activation and secondary PDP context activation by the network.		
11.1.5.2	Successful Secondary PDP Context Activation, Deactivation and Re-activation Initiated by the Network	Rel-7	C62b	UE supporting UE test loop mode 4 and PS domain services and PDP context activation and secondary PDP context activation by the network.		
11.2.1	Network initiated PDP context modification	R99	C12	UE supporting PS domain services.		
11.2.1a	Network initiated PDP context modification / Adding and deleting filters to TFT of a secondary PDP context	Rel-7	C62b	UE supporting UE test loop mode 4 and PS domain services and PDP context activation and secondary PDP context activation by the network.		
11.2.1b	Network initiated PDP context modification / Adding filters to TFT of the Primary PDP context	Rel-7	C62b	UE supporting UE test loop mode 4 and PS domain services and PDP context activation and secondary PDP context activation by the network.		
11.2.2.1	UE initiated PDP context modification/UE initiated PDP context modification accepted by network	R99	C12	UE supporting PS domain services.		
11.2.2.2	UE initiated PDP context modification/UE initiated PDP context modification not accepted by network	R99	C12	UE supporting PS domain services.		
11.2.2.3	UE initiated PDP Context Modification / Dual priority / low priority override	Rel-11	C878	UEs supporting PS domain services and LAP and LAP override		
11.2.3.1	Abnormal Cases/T3381 Expiry	R99	C12	UE supporting PS domain services.		
11.2.3.2	Collision of UE and network initiated PDP context modification procedures	R99	C12	UE supporting PS domain services.		
11.3.1	PDP context deactivation initiated by the UE	R99	C12	UE supporting PS domain services. 	1 Execution: PS	
11.3.2	PDP context deactivation initiated by the network	R99	C12	UE supporting PS domain services. 	1 Execution: PS	
11.3.2a	PDP context deactivation initiated by the network / secondary PDP context active / deactivation of primary PDP context	Rel-7	C62a	UE supporting PS domain services. PDP context activation and secondary PDP context activation by the network.		
11.3.3.1	Abnormal cases / T3390 Expiry	R99	C12	UE supporting PS domain services.		
11.3.3.2	Abnormal cases / Collision of UE and network initiated PDP context deactivation requests	R99	C12	UE supporting PS domain services.		
11.4.1	Error cases	R99	C12	UE supporting PS domain services.		
11.5.1m	MBMS Context Activation requested by the network, Successful and Unsuccessful procedure / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.5.2.1m	MBMS Context Activation requested by the network, T3380 Expiry / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.5.2.2m	Network initiated MBMS context activation request for an already activated context (on the UE side) / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.6.1m	MBMS Context deactivation requested by the network, Successful / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.6.2m	Void					
11.6.3m	Void					
11.7m	Network Feature Support IE for MBMS / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.8.1m	MBMS Service request procedure not accepted by the network / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.8.2	MBMS Service Request procedure collision with Routing Area Update / MBMS Selected Service	Rel-6	C480	UEs supporting PS domain services and MBMS broadcast services.	1 Execution: PS	
11.8.2m	MBMS Service Request procedure collision with Routing Area Update / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
11.9.1	UE routing of uplink packets	Rel-7	C62b	UE supporting UE test loop mode 4 and PS domain services and PDP context activation and secondary PDP context activation by the network.		
12	PACKET SWITCHED MOBILITY MANAGEMENT					
12.2.1.1	PS attach / accepted	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.1a	PS attach / accepted / Attach with IMSI	Rel-10	C867 OR C867	UEs supporting PS domain services and AttachWithIMSI|UEs supporting PS domain services and AttachWithIMSI		Rel-8 UTRA FDD
12.2.1.1b	PS attach / accepted / PSM	Rel-12	C922	UE supporting PS domain services and Power Saving Mode	1 Execution: PS	
12.2.1.1c	PS attach / accepted / DCN	Rel-14	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.2	PS attach / rejected / IMSI invalid / illegal UE	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.3	PS attach / rejected / IMSI invalid / PS services not allowed	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.4	PS attach / rejected / PLMN not allowed	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.4 Proc 1	PS attach / rejected / PLMN not allowed	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.4 Proc 2	PS attach / rejected / PLMN not allowed	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.4 Proc 4	PS attach / rejected / PLMN not allowed	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.5a	PS attach / rejected / roaming not allowed in this location area	R99	C379	UE supporting PS domain services and user requested PS detach without powering off	1 Execution: PS	
12.2.1.5a Proc 1	PS attach / rejected / roaming not allowed in this location area	R99	C379	UE supporting PS domain services and user requested PS detach without powering off	1 Execution: PS	
12.2.1.5a Proc 2	PS attach / rejected / roaming not allowed in this location area	R99	C379	UE supporting PS domain services and user requested PS detach without powering off	1 Execution: PS	
12.2.1.5a Proc 4	PS attach / rejected / roaming not allowed in this location area	R99	C379	UE supporting PS domain services and user requested PS detach without powering off	1 Execution: PS	
12.2.1.5b	PS attach / rejected / No Suitable Cells In Location Area	R99	 C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).	1 Execution: CS+PS	
12.2.1.5c	PS attach / rejected / Location area not allowed	R99	C12	UE supporting PS domain services.		
12.2.1.5d	PS attach / rejected / PS services not allowed in this PLMN	R99	 C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).	1 Execution: CS+PS	
12.2.1.5e	PS attach / rejected / Not authorized for this CSG	Rel-8	C652	UE supporting PS domain services, CS domain services (UE supports UE operation mode A) and CSG.	1 Execution: CS+PS	
12.2.1.6	PS attach / abnormal cases / access barred due to access class control	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.6 Proc 1	PS attach / abnormal cases / access barred due to access class control	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.6 Proc 2	PS attach / abnormal cases / access barred due to access class control	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.6 Proc 4	PS attach / abnormal cases / access barred due to access class control	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.7	PS attach / abnormal cases / change of routing area	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.8	PS attach / abnormal cases / power off	R99	C12	UE supporting PS domain services.		
12.2.1.9	PS attach / abnormal cases / PS detach procedure collision	R99	C12	UE supporting PS domain services.		
12.2.1.10	PS attach / abnormal cases / Failure due to non integrity protection	R99	C12	UE supporting PS domain services.	1 Execution: PS	
12.2.1.11	PS attach / accepted / follow-on request pending indicator set	R99	C395	UE supporting PS domain services and supports follow-on request procedure (PS) and user requested PS detach without powering off	1 Execution: PS	
12.2.1.12	PS attach / abnormal cases / access barred due to domain specific access restriction for PS domain	Rel-5	C412	UE supporting PS domain services and DSAC  Note: For Rel-5 UEs DSAC support is optional. For Rel-6 or later UEs DSAC support is mandatory.	1 Execution: PS	
12.2.1.13	NITZ / GMM/ Time zone, Time and DST Handling	Rel-8 (NOTE 1)	C882	UE supporting FDD and PS domain services and NITZ (Time: DST or Universal time or Time zone)	1 Execution: PS  (NOTE 2)	
12.2.1.14	NITZ / GMM/ NITZ Parameters Storage and Deletion	Rel-8 (NOTE 1)	C883	UE supporting FDD and PS domain services and NITZ (Name: Short or Full)	1 Execution: PS  (NOTE 2)	
12.2.1.15	NITZ / GMM / MM and GMM Signalling	Rel-8 (NOTE 1)	C884	UE supporting FDD and PS domain services and NITZ 	1 Execution: PS  (NOTE 2)	
12.2.1.16 	PS attach / EAB active	Rel-11	C905	Support EAB configuration and PS domain services		
12.2.2.1	Combined PS attach / PS and non-PS attach accepted	R99	C88	UE supporting PS domain services and CS domain services.	1 Execution: CS+PS	
12.2.2.2	Combined PS attach / PS only attach accepted	R99	C88	UE supporting PS domain services and CS domain services.		
12.2.2.3	Combined PS attach / PS attach while IMSI attach	R99	C103	UE supports UE operation mode A and does not support automatic PS attach procedure at switch on.		
12.2.2.3a	Combined PS attach / NMO-I enabled in UE	Rel-10	C866 OR C866	UEs supporting PS domain services and NMO_I_Behaviour|UEs supporting PS domain services and NMO_I_Behaviour		Rel-8 UTRA FDD
12.2.2.3c	Combined PS attach / congestion / GPRS services only	Rel-11	C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A)		
12.2.2.4	Combined PS attach / rejected / IMSI invalid / illegal ME	R99	C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).		
12.2.2.5	Combined PS attach / rejected / PS services and non-PS services not allowed	R99	C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).		
12.2.2.6	Combined PS attach / rejected / PS services not allowed	R99	C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).		
12.2.2.7a	Combined PS attach / rejected / location area not allowed	R99	C78	UE supporting PS domain services and CS domain services (UE supports UE operation mode A) and PS attach attempted automatically by outstanding request.		
12.2.2.7b	Combined PS attach / rejected / No Suitable Cells In Location Area	R99	C88	UE supporting PS domain services and CS domain services (UE supports UE operation mode A).		
